id,MouseID,Male,Stage,TreatmentBase,Propranolol,Birthdate,BW_8.11.2021,BW_15.11.2021,BW_18.11.2021,BW_24.11.2021,BW_29.11.2021,FastingHours,BWBeforeFasting,BWAfterFasting,Treatment ,Glc_0,Glc_15,Glc_30,Glc_45,Glc_60,Glc_120,DistanceAcute,SpeedAcute,DistanceChronic,SpeedChronic
1,C284,TRUE,0,none,TRUE,09/01/21,27.4,28.3,28.1,28.4,28,,,,,,,,,,,,,,
2,C285,TRUE,0,none,TRUE,09/01/21,22.5,23.3,22.8,24.1,24,,,,,,,,,,,,,,
3,C286,TRUE,0,none,TRUE,09/01/21,23.2,24.7,24.4,24.2,24.8,,,,,,,,,,,,,,
4,C287,TRUE,0,none,TRUE,09/01/21,23.6,24.6,24.4,25.8,24.9,,,,,,,,,,,,,,
5,C288,TRUE,0,none,TRUE,09/01/21,24.3,24.8,25.2,25,,,,,,,,,,,,,,,
6,C285,TRUE,1,none,TRUE,09/01/21,,,,,,4,24.2,,Insulin,149,161,171,165,152,146,,,,
7,C286,TRUE,1,none,TRUE,09/01/21,,,,,,4,25.7,,Insulin,145,159,159,166,143,142,,,,
8,C287,TRUE,1,none,TRUE,09/01/21,,,,,,4,25.7,,Insulin,155,138,101,84,86,120,,,,
9,C284,TRUE,2,none,TRUE,09/01/21,,,,,,12,29.4,26.4,Pyruvate,70,134,155,150,163,76,,,,
10,C285,TRUE,2,none,TRUE,09/01/21,,,,,,12,24.4,22.1,Pyruvate,79,137,187,218,193,100,,,,
11,C286,TRUE,2,none,TRUE,09/01/21,,,,,,12,26.4,24.1,Pyruvate,71,146,157,153,136,81,,,,
12,C287,TRUE,2,none,TRUE,09/01/21,,,,,,12,26.1,23.8,Pyruvate,86,125,170,170,169,69,,,,
13,C284,TRUE,3,none,TRUE,09/01/21,,,,,,,,,,,,,,,,15.093,0.017,,
14,C285,TRUE,3,none,TRUE,09/01/21,,,,,,,,,,,,,,,,16.671,0.019,,
15,C286,TRUE,3,none,TRUE,09/01/21,,,,,,,,,,,,,,,,38.535,0.043,,
16,C287,TRUE,3,none,TRUE,09/01/21,,,,,,,,,,,,,,,,37.77,0.042,,
17,C288,TRUE,3,none,TRUE,09/01/21,,,,,,,,,,,,,,,,36.238,0.04,,
18,C284,TRUE,4,none,TRUE,09/01/21,,,,,,,,,,,,,,,,,,27.278,0.03
19,C285,TRUE,4,none,TRUE,09/01/21,,,,,,,,,,,,,,,,,,38.236,0.042
20,C286,TRUE,4,none,TRUE,09/01/21,,,,,,,,,,,,,,,,,,12.36,0.014
21,C287,TRUE,4,none,TRUE,09/01/21,,,,,,,,,,,,,,,,,,22.933,0.025
22,C289,TRUE,0,Menthol,TRUE,09/01/21,23,23.7,24.7,24.6,23.7,,,,,,,,,,,,,,
23,C290,TRUE,0,Menthol,TRUE,09/01/21,24.2,25.4,25.9,25.8,25.3,,,,,,,,,,,,,,
24,C291,TRUE,0,Menthol,TRUE,09/01/21,25.1,26.2,26,26.4,25.4,,,,,,,,,,,,,,
25,C292,TRUE,0,Menthol,TRUE,09/01/21,22.1,23.3,23.8,24.5,23.4,,,,,,,,,,,,,,
26,C293,TRUE,0,Menthol,TRUE,09/01/21,22.9,24.2,25,24.8,23.8,,,,,,,,,,,,,,
27,C289,TRUE,1,Menthol,TRUE,09/01/21,,,,,,4,24.3,,Insulin,158,134,113,132,144,151,,,,
28,C290,TRUE,1,Menthol,TRUE,09/01/21,,,,,,4,26.1,,Insulin,135,151,120,120,128,144,,,,
29,C291,TRUE,1,Menthol,TRUE,09/01/21,,,,,,4,26.2,,Insulin,165,153,124,124,138,137,,,,
